PARAMETERS: 
 
labelset: llm 
split: train 
lambda: 0 
k: 3 
fine-tune: True 
ft_max_epochs: 2 
 
 
CLS: 
 
Run 1: 
 
File: ./results/llm_cls_5.json 
 
F1: 0.5274837828610447 
 
              precision    recall  f1-score   support

         LOC       0.55      0.68      0.60      2239
you                  O                    O                    O                    O                    
'll                  O                    O                    O                    O                    
be                   O                    O                    O                    O                    
paid                 O                    O                    O                    O                    
less                 O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
In                   O                    O                    O                    O                    
addition             O                    O                    O                    O                    
to                   O                    O                    O                    O                    
using                O                    O                    O                    O                    
accounting           O                    B-MISC               B-ORG                B-MISC               
skills               O                    I-MISC               I-ORG                I-MISC               
,                    O                    O                    O                    O                    
the                  O                    O                    O                    O                    
accountant           O                    O                    O                    O                    
will                 O                    O                    O                    O                    
also                 O                    O                    O                    O                    
have                 O                    O                    O                    O                    
to                   O                    O                    O                    O                    
be                   O                    O                    O                    O                    
creative             O                    B-MISC               B-MISC               B-MISC               
,                    O                    O                    O                    O                    
work                 O                    O                    O                    O                    
well                 O                    O                    O                    O                    
in                   O                    O                    O                    O                    
a                    O                    O                    O                    O                    
team                 O                    B-MISC               B-MISC               B-MISC               
,                    O                    O                    O                    O                    
be                   O                    O                    O                    O                    
sensitive            O                    O                    O                    O                    
to                   O                    O                    O                    O                    
customer             O                    B-MISC               B-ORG                B-MISC               
needs                O                    I-MISC               I-ORG                I-MISC               
and                  O                    O                    O                    O                    
set                  O                    O                    O                    O                    
productivity         O                    B-MISC               B-MISC               B-MISC               
goals                O                    I-MISC               I-MISC               I-MISC               
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
"                    O                    O                    O                    O                    
The                  O                    O                    O                    O                    
bad                  O                    O                    O                    O                    
news                 O                    O                    O                    O                    
is                   O                    O                    O                    O                    
,                    O                    O                    O                    O                    
if                   O                    O                    O                    O                    
you                  O                    O                    O                    O                    
're                  O                    O                    O                    O                    
not                  O                    O                    O                    O                    
skilled              O                    O                    O                    O                    
and                  O                    O                    O                    O                    
ca                   O                    O                    O                    O                    
n't                  O                    O                    O                    O                    
contribute           O                    O                    O                    O                    
to                   O                    O                    O                    O                    
a                    O                    O                    O                    O                    
team                 O                    O                    O                    O                    
,                    O                    O                    O                    O                    
to                   O                    O                    O                    O                    
customer             O                    B-ORG                B-ORG                B-ORG                
service              O                    I-ORG                I-ORG                I-ORG                
and                  O                    O                    O                    O                    
the                  O                    O                    O                    O                    
organisation         O                    B-ORG                B-MISC               B-MISC               
's                   O                    O                    O                    O                    
goals                O                    O                    O                    O                    
,                    O                    O                    O                    O                    
you                  O                    O                    O                    O                    
'll                  O                    O                    O                    O                    
be                   O                    O                    O                    O                    
paid                 O                    O                    O                    O                    
less                 O                    O                    O                    O                    
.                    O                    O                    O                    O                    
"                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
After                O                    O                    O                    O                    
World                B-MISC               B-MISC               B-MISC               B-ORG                
War                  I-MISC               I-MISC               I-MISC               I-ORG                
II                   I-MISC               I-MISC               I-MISC               I-ORG                
,                    O                    O                    O                    O                    
corporations         O                    B-ORG                B-ORG                B-ORG                
adopted              O                    O                    O                    O                    
a                    O                    O                    O                    O                    
"                    O                    O                    O                    O                    
military             O                    B-MISC               B-MISC               B-MISC               
model                O                    I-MISC               I-MISC               I-MISC               
"                    O                    O                    O                    O                    
creating             O                    O                    O                    O                    
hierarchical         O                    B-MISC               B-MISC               B-MISC               
organisations        O                    I-MISC               I-MISC               I-MISC               
where                O                    O                    O                    O                    
"                    O                    O                    O                    O                    
the                  O                    O                    O                    O                    
concept              O                    O                    O                    O                    
of                   O                    O                    O                    O                    
defined              O                    O                    O                    O                    
tasks                O                    O                    O                    O                    
worked               O                    O                    O                    O                    
great                O                    O                    O                    O                    
,                    O                    O                    O                    O                    
"                    O                    O                    O                    O                    
she                  O                    O                    O                    O                    
said                 O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
"                    O                    O                    O                    O                    
Multi-layers         O                    B-ORG                B-MISC               B-ORG                
kept                 O                    O                    O                    O                    
management           O                    O                    O                    O                    
at                   O                    O                    O                    O                    
a                    O                    O                    O                    O                    
distance             O                    O                    O                    O                    
from                 O                    O                    O                    O                    
its                  O                    O                    O                    O                    
customers            O                    O                    O                    O                    
,                    O                    O                    O                    O                    
"                    O                    O                    O                    O                    
O'Neal               B-PER                B-PER                B-PER                B-PER                
said                 O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
O'Neal               B-PER                B-MISC               B-PER                B-PER                
says                 O                    O                    O                    O                    
firms                O                    B-ORG                B-ORG                B-ORG                
will                 O                    O                    O                    O                    
place                O                    O                    O                    O                    
a                    O                    O                    O                    O                    
greater              O                    O                    O                    O                    
emphasis             O                    O                    O                    O                    
on                   O                    O                    O                    O                    
teams                O                    O                    O                    O                    
and                  O                    O                    O                    O                    
team                 O                    O                    O                    O                    
performance          O                    O                    O                    O                    
in                   O                    O                    O                    O                    
giving               O                    O                    O                    O                    
raises               O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
To                   O                    O                    O                    O                    
get                  O                    O                    O                    O                    
those                O                    O                    O                    O                    
results              O                    O                    O                    O                    
,                    O                    O                    O                    O                    
27                   O                    O                    O                    O                    
percent              O                    B-MISC               B-MISC               B-ORG                
of                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
companies            O                    B-ORG                B-ORG                B-ORG                
surveyed             O                    O                    O                    O                    
plan                 O                    O                    O                    O                    
to                   O                    O                    O                    O                    
eliminate            O                    O                    O                    O                    
base                 O                    O                    O                    O                    
pay                  O                    O                    O                    O                    
increases            O                    O                    O                    O                    
in                   O                    O                    O                    O                    
favour               O                    O                    O                    O                    
of                   O                    O                    O                    O                    
cash                 O                    B-MISC               B-MISC               B-MISC               
bonuses              O                    I-MISC               I-MISC               I-MISC               
and                  O                    I-MISC               I-MISC               I-MISC               
incentives           O                    I-MISC               I-MISC               I-MISC               
,                    O                    O                    O                    O                    
such                 O                    O                    O                    O                    
as                   O                    O                    O                    O                    
employee             O                    O                    O                    O                    
and                  O                    O                    O                    O                    
team                 O                    O                    O                    O                    
award                O                    B-ORG                B-ORG                B-MISC               
programmes           O                    I-ORG                I-ORG                I-MISC               
and                  O                    O                    O                    O                    
education            O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
Companies            O                    B-ORG                B-ORG                B-ORG                
that                 O                    O                    O                    O                    
can                  O                    O                    O                    O                    
change               O                    O                    O                    O                    
their                O                    O                    O                    O                    
culture              O                    O                    O                    O                    
and                  O                    O                    O                    O                    
view                 O                    O                    O                    O                    
employees            O                    O                    O                    O                    
as                   O                    O                    O                    O                    
business             O                    B-ORG                B-ORG                B-MISC               
partners             O                    I-ORG                I-ORG                I-MISC               
will                 O                    O                    O                    O                    
do                   O                    O                    O                    O                    
well                 O                    O                    O                    O                    
,                    O                    O                    O                    O                    
O'Neal               B-PER                B-PER                B-PER                B-PER                
said                 O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
Those                O                    O                    O                    O                    
companies            O                    B-ORG                B-ORG                B-ORG                
also                 O                    O                    O                    O                    
said                 O                    O                    O                    O                    
they                 O                    O                    O                    O                    
already              O                    O                    O                    O                    
offer                O                    O                    O                    O                    
employees            O                    O                    O                    O                    
variable             O                    B-MISC               B-MISC               B-MISC               
pay                  O                    I-MISC               I-MISC               I-MISC               
and                  O                    O                    O                    O                    
business             O                    B-MISC               B-ORG                B-MISC               
education            O                    I-MISC               I-ORG                I-MISC               
,                    O                    O                    O                    O                    
give                 O                    O                    O                    O                    
their                O                    O                    O                    O                    
managers             O                    B-PER                B-ORG                B-MISC               
more                 O                    O                    O                    O                    
control              O                    O                    O                    O                    
over                 O                    O                    O                    O                    
pay                  O                    O                    O                    O                    
decisions            O                    O                    O                    O                    
and                  O                    O                    O                    O                    
celebrate            O                    O                    O                    O                    
employee             O                    B-MISC               B-MISC               B-MISC               
and                  O                    I-MISC               I-MISC               I-MISC               
team                 O                    I-MISC               I-MISC               I-MISC               
success              O                    I-MISC               I-MISC               I-MISC               
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
"                    O                    O                    O                    O                    
The                  O                    O                    O                    O                    
key                  O                    O                    O                    O                    
to                   O                    O                    O                    O                    
success              O                    O                    O                    O                    
at                   O                    O                    O                    O                    
high-performance     O                    B-ORG                B-MISC               B-ORG                
companies            O                    I-ORG                I-MISC               I-ORG                
is                   O                    O                    O                    O                    
engaging             O                    O                    O                    O                    
employees            O                    O                    O                    O                    
in                   O                    O                    O                    O                    
a                    O                    O                    O                    O                    
business             O                    O                    O                    O                    
partnership          O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
It                   O                    O                    O                    O                    
will                 O                    O                    O                    O                    
improve              O                    O                    O                    O                    
a                    O                    O                    O                    O                    
company              O                    B-ORG                B-MISC               B-ORG                
's                   O                    O                    O                    O                    
bottom               O                    O                    O                    O                    
line                 O                    O                    O                    O                    
.                    O                    O                    O                    O                    
"                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
SOCCER               O                    O                    O                    O                    
-                    O                    O                    O                    O                    
FIORENTINA           B-ORG                B-ORG                B-ORG                B-PER                
WIN                  O                    O                    O                    O                    
WITH                 O                    O                    O                    O                    
BATISTUTA            B-PER                B-PER                B-PER                B-PER                
DOUBLE               O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
Argentine            B-MISC               O                    O                    O                    
striker              O                    O                    O                    O                    
Gabriel              B-PER                B-PER                B-PER                B-PER                
Batistuta            I-PER                I-PER                I-PER                I-PER                
gave                 O                    O                    O                    O                    
Fiorentina           B-ORG                B-ORG                B-ORG                B-ORG                
the                  O                    O                    O                    O                    
perfect              O                    O                    O                    O                    
70th                 O                    O                    O                    O                    
birthday             O                    O                    O                    O                    
present              O                    O                    O                    O                    
on                   O                    O                    O                    O                    
Sunday               O                    O                    O                    O                    
with                 O                    O                    O                    O                    
two                  O                    O                    O                    O                    
goals                O                    O                    O                    O                    
that                 O                    O                    O                    O                    
gave                 O                    O                    O                    O                    
the                  O                    O                    O                    O                    
Italian              B-MISC               B-ORG                B-ORG                B-ORG                
Cup                  I-MISC               I-ORG                I-ORG                I-ORG                
winners              O                    O                    O                    O                    
a                    O                    O                    O                    O                    
2-1                  O                    O                    O                    O                    
Supercup             B-MISC               O                    O                    O                    
victory              O                    O                    O                    O                    
over                 O                    O                    O                    O                    
serie                B-MISC               B-ORG                B-MISC               B-ORG                
A                    I-MISC               I-ORG                I-MISC               I-ORG                
champions            O                    O                    O                    O                    
Milan                B-ORG                B-ORG                B-ORG                B-ORG                
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
Sweden               B-LOC                B-LOC                B-LOC                B-ORG                
's                   O                    O                    O                    O                    
Stefan               B-PER                B-PER                B-PER                B-PER                
Schwarz              I-PER                I-PER                I-PER                I-PER                
picked               O                    O                    O                    O                    
him                  O                    O                    O                    O                    
out                  O                    O                    O                    O                    
with                 O                    O                    O                    O                    
a                    O                    O                    O                    O                    
lob                  O                    O                    O                    O                    
to                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
edge                 O                    O                    O                    O                    
of                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
box                  O                    O                    O                    O                    
and                  O                    O                    O                    O                    
Batistuta            B-PER                B-PER                B-PER                B-MISC               
did                  O                    O                    O                    O                    
the                  O                    O                    O                    O                    
rest                 O                    O                    O                    O                    
,                    O                    O                    O                    O                    
chipping             O                    O                    O                    O                    
veteran              O                    O                    O                    O                    
defender             O                    O                    O                    O                    
Franco               B-PER                B-PER                B-PER                B-PER                
Baresi               I-PER                I-PER                I-PER                I-PER                
and                  O                    O                    O                    O                    
scoring              O                    O                    O                    O                    
at                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
near                 O                    O                    O                    O                    
post                 O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
The                  O                    O                    O                    O                    
scored               O                    O                    O                    O                    
stayed               O                    O                    O                    O                    
level                O                    O                    O                    O                    
to                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
final                O                    O                    O                    O                    
minutes              O                    O                    O                    O                    
but                  O                    O                    O                    O                    
with                 O                    O                    O                    O                    
a                    O                    O                    O                    O                    
penalty              O                    O                    O                    O                    
shoot                O                    O                    O                    O                    
out                  O                    O                    O                    O                    
looming              O                    O                    O                    O                    
,                    O                    O                    O                    O                    
Batistuta            B-PER                B-LOC                B-PER                B-LOC                
took                 O                    O                    O                    O                    
charge               O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
Libyan               B-MISC               B-PER                B-LOC                B-LOC                
man                  O                    O                    O                    O                    
murdered             O                    O                    O                    O                    
in                   O                    O                    O                    O                    
Malta                B-LOC                B-LOC                B-LOC                B-LOC                
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
A                    O                    O                    O                    O                    
Libyan               B-MISC               O                    O                    O                    
man                  O                    O                    O                    O                    
has                  O                    O                    O                    O                    
been                 O                    O                    O                    O                    
found                O                    O                    O                    O                    
stabbed              O                    O                    O                    O                    
to                   O                    O                    O                    O                    
death                O                    O                    O                    O                    
in                   O                    O                    O                    O                    
Malta                B-LOC                B-LOC                B-LOC                B-LOC                
,                    O                    O                    O                    O                    
police               O                    B-PER                B-PER                B-ORG                
said                 O                    O                    O                    O                    
on                   O                    O                    O                    O                    
Friday               O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
SUGO                 B-LOC                B-LOC                B-MISC               B-LOC                
,                    O                    O                    O                    O                    
Japan                B-LOC                B-LOC                B-LOC                B-LOC                
1996-08-25           O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
nine                 O                    B-MISC               B-MISC               B-MISC               
of                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
superbike            O                    B-ORG                B-ORG                B-MISC               
