PARAMETERS: 
 
labelset: weak 
split: train 
lambda: 0.33 
k: 3 
fine-tune: True 
ft_max_epochs: 2 
 
 
CLS: 
 
Run 1: 
 
File: ./results/weak_cls_4.json 
 
F1: 0.5925198059325678 
 
              precision    recall  f1-score   support

         LOC       0.58      0.83      0.68      2239
's                   O                    O                    O                    O                    
goals                O                    O                    O                    O                    
,                    O                    O                    O                    O                    
you                  O                    B-PER                B-PER                B-PER                
'll                  O                    O                    O                    O                    
be                   O                    O                    O                    O                    
paid                 O                    O                    O                    O                    
less                 O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
Presently            O                    O                    O                    O                    
,                    O                    O                    O                    O                    
for                  O                    O                    O                    O                    
example              O                    O                    O                    O                    
,                    O                    O                    O                    O                    
if                   O                    O                    O                    O                    
an                   O                    O                    O                    O                    
accountant           O                    O                    O                    O                    
's                   O                    O                    O                    O                    
job                  O                    O                    O                    O                    
involves             O                    O                    O                    O                    
doing                O                    O                    O                    O                    
five                 O                    O                    B-PER                O                    
specific             O                    O                    O                    O                    
tasks                O                    O                    O                    O                    
,                    O                    O                    O                    O                    
he                   O                    O                    O                    O                    
or                   O                    O                    O                    O                    
she                  O                    O                    O                    O                    
can                  O                    O                    O                    O                    
expect               O                    O                    O                    O                    
a                    O                    O                    O                    O                    
certain              O                    O                    O                    O                    
salary               O                    O                    O                    O                    
,                    O                    O                    O                    O                    
said                 O                    O                    O                    O                    
Sandra               B-PER                B-PER                B-ORG                B-PER                
O'Neal               I-PER                I-PER                I-ORG                I-PER                
,                    O                    O                    O                    O                    
a                    O                    O                    O                    O                    
Towers               B-ORG                B-ORG                B-ORG                O                    
Perrin               I-ORG                I-ORG                I-ORG                O                    
principal            O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
In                   O                    O                    O                    O                    
addition             O                    O                    O                    O                    
to                   O                    O                    O                    O                    
using                O                    O                    O                    O                    
accounting           O                    O                    O                    O                    
skills               O                    O                    O                    O                    
,                    O                    O                    O                    O                    
the                  O                    O                    O                    O                    
accountant           O                    O                    O                    O                    
will                 O                    O                    O                    O                    
also                 O                    O                    O                    O                    
have                 O                    O                    O                    O                    
to                   O                    B-ORG                O                    O                    
be                   O                    I-ORG                O                    O                    
creative             O                    O                    O                    O                    
,                    O                    O                    O                    O                    
work                 O                    O                    O                    O                    
well                 O                    O                    O                    O                    
in                   O                    O                    O                    O                    
a                    O                    O                    O                    O                    
team                 O                    O                    O                    O                    
,                    O                    O                    O                    O                    
be                   O                    O                    O                    O                    
sensitive            O                    O                    O                    O                    
to                   O                    O                    O                    O                    
customer             O                    O                    O                    O                    
needs                O                    O                    O                    O                    
and                  O                    O                    O                    O                    
set                  O                    O                    O                    O                    
productivity         O                    O                    O                    O                    
goals                O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
"                    O                    O                    O                    O                    
The                  O                    O                    O                    O                    
good                 O                    O                    O                    O                    
news                 O                    O                    O                    O                    
is                   O                    O                    O                    O                    
,                    O                    O                    O                    O                    
if                   O                    O                    O                    O                    
you                  O                    B-PER                B-PER                O                    
're                  O                    O                    O                    O                    
highly               O                    O                    O                    O                    
skilled              O                    O                    O                    O                    
and                  O                    O                    O                    O                    
have                 O                    O                    O                    O                    
many                 O                    O                    O                    O                    
abilities            O                    O                    O                    O                    
,                    O                    O                    O                    O                    
you                  O                    B-PER                B-PER                O                    
'll                  O                    O                    O                    O                    
be                   O                    O                    O                    O                    
paid                 O                    O                    O                    O                    
more                 O                    O                    O                    O                    
,                    O                    O                    O                    O                    
"                    O                    O                    O                    O                    
said                 O                    O                    O                    O                    
O'Neal               B-PER                B-ORG                B-ORG                O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
"                    O                    O                    O                    O                    
The                  O                    O                    O                    O                    
bad                  O                    O                    O                    O                    
news                 O                    O                    O                    O                    
is                   O                    O                    O                    O                    
,                    O                    O                    O                    O                    
if                   O                    O                    O                    O                    
you                  O                    B-PER                B-PER                O                    
're                  O                    O                    O                    O                    
not                  O                    O                    O                    O                    
skilled              O                    O                    O                    O                    
and                  O                    O                    O                    O                    
ca                   O                    O                    O                    O                    
n't                  O                    O                    O                    O                    
contribute           O                    O                    O                    O                    
to                   O                    O                    O                    O                    
a                    O                    O                    O                    O                    
team                 O                    O                    O                    O                    
,                    O                    O                    O                    O                    
to                   O                    O                    O                    O                    
customer             O                    O                    O                    O                    
service              O                    O                    O                    O                    
and                  O                    O                    O                    O                    
the                  O                    O                    O                    O                    
organisation         O                    O                    O                    O                    
's                   O                    O                    O                    O                    
goals                O                    O                    O                    O                    
,                    O                    O                    O                    O                    
you                  O                    B-PER                B-PER                B-PER                
'll                  O                    O                    O                    O                    
be                   O                    O                    O                    O                    
paid                 O                    O                    O                    O                    
less                 O                    O                    O                    O                    
.                    O                    O                    O                    O                    
"                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
O'Neal               B-PER                B-ORG                B-ORG                B-ORG                
says                 O                    B-ORG                O                    O                    
firms                O                    O                    O                    O                    
will                 O                    O                    O                    O                    
place                O                    O                    O                    O                    
a                    O                    O                    O                    O                    
greater              O                    O                    O                    O                    
emphasis             O                    O                    O                    O                    
on                   O                    O                    O                    O                    
teams                O                    O                    O                    O                    
and                  O                    O                    O                    O                    
team                 O                    O                    O                    O                    
performance          O                    O                    O                    O                    
in                   O                    O                    O                    O                    
giving               O                    O                    O                    O                    
raises               O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
Is                   O                    O                    O                    O                    
this                 O                    O                    O                    O                    
fair                 O                    O                    O                    O                    
to                   O                    O                    O                    O                    
an                   O                    O                    O                    O                    
employee             O                    O                    O                    O                    
who                  O                    O                    O                    O                    
can                  O                    O                    O                    O                    
go                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
distance             O                    O                    O                    O                    
but                  O                    B-ORG                O                    B-ORG                
is                   O                    O                    O                    O                    
on                   O                    O                    O                    O                    
a                    O                    O                    O                    O                    
team                 O                    O                    O                    O                    
that                 O                    O                    O                    O                    
ca                   O                    O                    O                    O                    
n't                  O                    O                    O                    O                    
keep                 O                    O                    O                    O                    
up                   O                    O                    O                    O                    
?                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
"                    O                    O                    O                    O                    
That                 O                    O                    O                    O                    
's                   O                    O                    O                    O                    
an                   O                    O                    O                    O                    
important            O                    O                    O                    O                    
question             O                    O                    O                    O                    
we                   O                    O                    B-PER                O                    
used                 O                    O                    O                    O                    
to                   O                    O                    O                    O                    
ask                  O                    O                    O                    O                    
a                    O                    O                    O                    O                    
lot                  O                    O                    O                    O                    
,                    O                    O                    O                    O                    
"                    O                    O                    O                    O                    
said                 O                    O                    O                    O                    
O'Neal               B-PER                B-ORG                B-ORG                O                    
.                    O                    O                    O                    B-ORG                
"                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
SOCCER               O                    O                    O                    O                    
-                    O                    O                    O                    O                    
FIORENTINA           B-ORG                B-ORG                B-ORG                B-ORG                
WIN                  O                    O                    O                    O                    
WITH                 O                    O                    O                    O                    
BATISTUTA            B-PER                B-ORG                B-ORG                B-ORG                
DOUBLE               O                    B-ORG                O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
Argentine            B-MISC               B-MISC               B-MISC               B-MISC               
striker              O                    O                    O                    O                    
Gabriel              B-PER                B-PER                B-PER                B-PER                
Batistuta            I-PER                I-PER                I-PER                I-PER                
gave                 O                    O                    O                    O                    
Fiorentina           B-ORG                B-ORG                B-ORG                B-ORG                
the                  O                    O                    O                    O                    
perfect              O                    O                    O                    O                    
70th                 O                    O                    O                    O                    
birthday             O                    O                    O                    O                    
present              O                    O                    O                    O                    
on                   O                    O                    O                    O                    
Sunday               O                    O                    O                    O                    
with                 O                    O                    O                    O                    
two                  O                    O                    O                    O                    
goals                O                    O                    O                    O                    
that                 O                    O                    O                    O                    
gave                 O                    O                    O                    O                    
the                  O                    B-MISC               O                    B-MISC               
Italian              B-MISC               B-MISC               B-MISC               B-MISC               
Cup                  I-MISC               I-MISC               I-MISC               I-MISC               
winners              O                    O                    O                    O                    
a                    O                    O                    O                    O                    
2-1                  O                    O                    O                    O                    
Supercup             B-MISC               B-ORG                B-ORG                B-MISC               
victory              O                    O                    O                    O                    
over                 O                    O                    O                    O                    
serie                B-MISC               O                    O                    O                    
A                    I-MISC               O                    O                    O                    
champions            O                    O                    O                    O                    
Milan                B-ORG                B-LOC                B-LOC                B-LOC                
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
Sweden               B-LOC                B-LOC                B-LOC                B-LOC                
's                   O                    O                    O                    O                    
Stefan               B-PER                B-PER                B-PER                B-PER                
Schwarz              I-PER                I-PER                I-PER                I-PER                
picked               O                    O                    O                    O                    
him                  O                    O                    O                    O                    
out                  O                    O                    O                    O                    
with                 O                    O                    O                    O                    
a                    O                    O                    O                    O                    
lob                  O                    B-ORG                O                    O                    
to                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
edge                 O                    O                    O                    O                    
of                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
box                  O                    O                    O                    O                    
and                  O                    O                    O                    O                    
Batistuta            B-PER                B-ORG                B-ORG                O                    
did                  O                    O                    O                    O                    
the                  O                    O                    O                    O                    
rest                 O                    O                    O                    O                    
,                    O                    O                    O                    O                    
chipping             O                    O                    O                    O                    
veteran              O                    O                    O                    O                    
defender             O                    O                    O                    O                    
Franco               B-PER                B-PER                B-PER                B-PER                
Baresi               I-PER                I-PER                I-PER                I-PER                
and                  O                    O                    O                    O                    
scoring              O                    O                    O                    O                    
at                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
near                 O                    O                    O                    O                    
post                 O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
Montenegrin          B-MISC               B-PER                B-MISC               B-MISC               
midfielder           O                    O                    O                    O                    
Dejan                B-PER                B-PER                B-PER                B-PER                
Savicevic            I-PER                I-PER                I-PER                I-PER                
equalised            O                    O                    O                    O                    
for                  O                    O                    O                    O                    
the                  O                    O                    O                    O                    
home                 O                    O                    O                    O                    
team                 O                    O                    O                    O                    
,                    O                    O                    O                    O                    
weaving              O                    O                    O                    O                    
past                 O                    O                    O                    O                    
a                    O                    O                    O                    O                    
defender             O                    O                    O                    O                    
,                    O                    O                    O                    O                    
checking             O                    O                    O                    O                    
and                  O                    O                    O                    O                    
firing               O                    O                    O                    O                    
in                   O                    O                    O                    O                    
a                    O                    O                    O                    O                    
left-footed          O                    O                    O                    O                    
shot                 O                    O                    O                    O                    
in                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
21st                 O                    O                    O                    O                    
minute               O                    O                    O                    O                    
that                 O                    O                    O                    O                    
gave                 O                    O                    O                    O                    
young                O                    O                    O                    O                    
Fiorentina           B-ORG                B-ORG                B-ORG                B-ORG                
goalkeeper           O                    O                    O                    O                    
Francesco            B-PER                B-PER                B-PER                B-PER                
Toldo                I-PER                I-PER                I-PER                I-PER                
little               O                    O                    O                    O                    
chance               O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
The                  O                    O                    O                    O                    
83rd                 O                    O                    O                    O                    
minute               O                    O                    O                    O                    
shot                 O                    O                    O                    O                    
,                    O                    O                    O                    O                    
curling              O                    O                    O                    O                    
over                 O                    O                    O                    O                    
the                  O                    O                    O                    O                    
defence              O                    O                    O                    O                    
and                  O                    O                    O                    O                    
dipping              O                    O                    O                    O                    
in                   O                    O                    O                    O                    
under                O                    O                    O                    O                    
the                  O                    O                    O                    O                    
bar                  O                    O                    O                    O                    
from                 O                    O                    O                    O                    
the                  O                    O                    O                    O                    
striker              O                    O                    O                    O                    
dubbed               O                    O                    O                    O                    
Batigol              B-PER                B-MISC               B-ORG                B-ORG                
by                   O                    O                    O                    O                    
adoring              O                    O                    O                    O                    
Fiorentina           B-ORG                B-ORG                B-ORG                B-ORG                
fans                 O                    O                    O                    O                    
,                    O                    O                    O                    O                    
was                  O                    O                    O                    O                    
just                 O                    O                    O                    O                    
reward               O                    O                    O                    O                    
for                  O                    O                    O                    O                    
Fiorentina           B-ORG                B-ORG                B-ORG                B-ORG                
who                  O                    O                    O                    O                    
looked               O                    O                    O                    O                    
a                    O                    O                    O                    O                    
far                  O                    O                    O                    O                    
more                 O                    O                    O                    O                    
impressive           O                    O                    O                    O                    
team                 O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
Milan                B-ORG                B-LOC                B-LOC                B-LOC                
's                   O                    O                    O                    O                    
player               O                    O                    O                    O                    
