PARAMETERS: 
 
labelset: weak 
split: train 
lambda: 0 
k: 3 
fine-tune: True 
ft_max_epochs: 2 
 
 
CLS: 
 
Run 1: 
 
File: ./results/weak_cls_3.json 
 
F1: 0.5761278195488722 
 
              precision    recall  f1-score   support

         LOC       0.56      0.86      0.68      2239
had                  O                    O                    O                    O                    
links                O                    O                    O                    O                    
to                   O                    O                    O                    O                    
an                   O                    O                    O                    O                    
Islamic              B-MISC               B-MISC               B-MISC               B-MISC               
militant             O                    O                    O                    O                    
group                O                    O                    O                    O                    
as                   O                    O                    O                    O                    
reported             O                    O                    O                    O                    
by                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
local                O                    O                    O                    O                    
press                O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
1.                   O                    O                    O                    O                    
Yuuchi               B-PER                B-MISC               B-PER                B-PER                
Takeda               I-PER                I-MISC               I-PER                I-PER                
(                    O                    O                    O                    O                    
Japan                B-LOC                B-LOC                B-LOC                B-LOC                
)                    O                    O                    O                    O                    
Honda                B-ORG                B-ORG                B-ORG                B-ORG                
38                   O                    O                    O                    O                    
minutes              O                    O                    O                    O                    
30.054               O                    O                    O                    O                    
seconds              O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
World                O                    B-ORG                B-LOC                B-ORG                
championship         O                    O                    O                    O                    
standings            O                    O                    O                    O                    
(                    O                    O                    O                    O                    
after                O                    O                    O                    O                    
nine                 O                    O                    O                    O                    
rounds               O                    O                    O                    O                    
)                    O                    O                    O                    O                    
:                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
of                   O                    O                    O                    O                    
Japanese             B-MISC               B-MISC               B-LOC                B-LOC                
rider                O                    O                    O                    O                    
Noriyuki             B-PER                B-PER                B-PER                B-PER                
Haga                 I-PER                I-PER                I-PER                I-PER                
for                  O                    O                    O                    O                    
using                O                    O                    O                    O                    
an                   O                    O                    O                    O                    
illegal              O                    O                    O                    O                    
carburettor          O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
5.                   O                    O                    O                    O                    
Fujiwara             B-PER                B-PER                B-ORG                B-PER                
38:33.595            O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
Fastest              O                    B-MISC               B-PER                B-PER                
lap                  O                    O                    O                    O                    
:                    O                    O                    O                    O                    
Aoki                 B-PER                B-PER                B-PER                B-PER                
147.786              O                    I-PER                I-PER                I-PER                
kph                  O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
American             B-MISC               B-MISC               B-LOC                B-LOC                
League               I-MISC               O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
SOCCER               O                    O                    O                    O                    
-                    O                    O                    O                    O                    
TOGO                 B-ORG                B-ORG                B-ORG                B-ORG                
BEAT                 O                    B-ORG                B-ORG                B-ORG                
CONGO                B-ORG                B-LOC                B-ORG                B-ORG                
1-0                  O                    O                    O                    O                    
IN                   O                    B-ORG                B-ORG                B-ORG                
AFRICA               B-MISC               B-LOC                B-ORG                B-ORG                
NATIONS              I-MISC               O                    O                    O                    
CUP                  I-MISC               O                    O                    O                    
QUALIFIER            O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
LOME                 B-LOC                B-ORG                B-ORG                B-LOC                
1996-08-25           O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
in                   O                    O                    O                    O                    
their                O                    O                    O                    O                    
African              B-MISC               B-MISC               B-ORG                B-ORG                
Nations              I-MISC               I-MISC               I-ORG                I-ORG                
Cup                  I-MISC               I-MISC               I-ORG                I-ORG                
preliminary          O                    O                    O                    O                    
round                O                    O                    O                    O                    
,                    O                    O                    O                    O                    
second               O                    O                    O                    O                    
leg                  O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
Scorer               O                    O                    O                    O                    
:                    O                    O                    O                    O                    
Salou                B-PER                B-PER                B-ORG                B-ORG                
Bachirou             I-PER                I-PER                I-ORG                I-ORG                
(                    O                    O                    O                    O                    
53rd                 O                    O                    O                    O                    
minute               O                    O                    O                    O                    
)                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
ZURICH               B-LOC                B-LOC                B-ORG                B-LOC                
1996-08-25           O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
Andrea               B-PER                B-PER                B-PER                B-PER                
Ferrigato            I-PER                I-PER                I-PER                I-PER                
of                   O                    I-PER                I-PER                I-PER                
Italy                B-LOC                B-LOC                B-LOC                B-LOC                
sprinted             O                    O                    O                    O                    
to                   O                    O                    O                    O                    
his                  O                    O                    O                    O                    
second               O                    O                    O                    O                    
cycling              O                    O                    O                    O                    
World                B-MISC               B-MISC               B-MISC               B-MISC               
Cup                  I-MISC               I-MISC               I-MISC               I-MISC               
win                  O                    O                    O                    O                    
in                   O                    O                    O                    O                    
successive           O                    O                    O                    O                    
weekends             O                    O                    O                    O                    
with                 O                    O                    O                    O                    
victory              O                    O                    O                    O                    
in                   O                    O                    O                    O                    
the                  O                    B-ORG                B-ORG                B-ORG                
Swiss                B-MISC               B-LOC                B-LOC                B-LOC                
Grand                B-MISC               B-ORG                B-MISC               B-MISC               
Prix                 I-MISC               I-ORG                I-MISC               I-MISC               
on                   O                    O                    O                    O                    
Sunday               O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
Ferrigato            B-PER                B-ORG                B-ORG                B-ORG                
,                    O                    O                    O                    O                    
winner               O                    O                    O                    O                    
of                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
Leeds                B-MISC               B-ORG                B-LOC                B-ORG                
Classic              I-MISC               O                    O                    O                    
last                 O                    O                    O                    O                    
Sunday               O                    O                    O                    O                    
with                 O                    O                    O                    O                    
a                    O                    O                    O                    O                    
one                  O                    O                    O                    O                    
second               O                    O                    O                    O                    
win                  O                    O                    O                    O                    
