PARAMETERS: 
 
labelset: distant 
split: train 
lambda: 0 
k: 3 
fine-tune: False 
 
 
CLS: 
 
Run 1: 
 
File: ./results/distant_cls_1.json 
 
F1: 0.6042005515875822 
 
              precision    recall  f1-score   support

         LOC       0.79      0.62      0.70      2239
to                   O                    O                    O                    O                    
injury               O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
New                  O                    O                    O                    O                    
Dutch                B-MISC               B-MISC               B-PER                B-PER                
signing              O                    O                    O                    O                    
Edgar                B-PER                B-PER                B-PER                B-PER                
Davids               I-PER                I-PER                I-PER                I-PER                
came                 O                    O                    O                    O                    
on                   O                    O                    O                    O                    
late                 O                    O                    O                    O                    
in                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
second               O                    O                    O                    O                    
half                 O                    O                    O                    O                    
as                   O                    O                    O                    O                    
a                    O                    O                    O                    O                    
Milan                B-ORG                B-ORG                B-ORG                B-ORG                
substitute           O                    O                    O                    O                    
but                  O                    O                    O                    O                    
made                 O                    O                    O                    O                    
little               O                    O                    O                    O                    
impact               O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
They                 O                    O                    O                    O                    
said                 O                    O                    O                    O                    
the                  O                    O                    O                    O                    
body                 O                    O                    O                    O                    
of                   O                    O                    O                    O                    
Amer                 B-PER                B-PER                B-PER                B-PER                
Hishem               I-PER                O                    O                    O                    
Ali                  I-PER                B-PER                B-PER                B-PER                
Mohammed             I-PER                I-PER                I-PER                I-PER                
,                    O                    O                    O                    O                    
23                   O                    O                    O                    O                    
,                    O                    O                    O                    O                    
was                  O                    O                    O                    O                    
found                O                    O                    O                    O                    
in                   O                    O                    O                    O                    
a                    O                    O                    O                    O                    
pool                 O                    O                    O                    O                    
of                   O                    O                    O                    O                    
blood                O                    O                    O                    O                    
in                   O                    O                    O                    O                    
Sliema               B-LOC                B-LOC                B-LOC                B-LOC                
,                    O                    O                    O                    O                    
seven                O                    O                    O                    O                    
km                   O                    O                    O                    O                    
(                    O                    O                    O                    O                    
four                 O                    O                    O                    O                    
miles                O                    O                    O                    O                    
)                    O                    O                    O                    O                    
from                 O                    O                    O                    O                    
Valletta             B-LOC                B-LOC                B-PER                B-LOC                
,                    O                    O                    O                    O                    
on                   O                    O                    O                    O                    
Wednesday            O                    O                    O                    O                    
morning              O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
Police               O                    O                    O                    O                    
Commissioner         O                    O                    O                    O                    
George               B-PER                B-PER                B-LOC                B-PER                
Grech                I-PER                I-PER                I-LOC                I-PER                
said                 O                    O                    O                    O                    
police               O                    O                    O                    O                    
were                 O                    O                    O                    O                    
investigating        O                    O                    O                    O                    
the                  O                    O                    O                    O                    
possibility          O                    O                    O                    O                    
that                 O                    O                    O                    O                    
Mohammed             B-PER                B-PER                B-PER                B-PER                
had                  O                    O                    O                    O                    
links                O                    O                    O                    O                    
to                   O                    O                    O                    O                    
an                   O                    O                    O                    O                    
Islamic              B-MISC               O                    O                    O                    
militant             O                    O                    O                    O                    
group                O                    O                    O                    O                    
as                   O                    O                    O                    O                    
reported             O                    O                    O                    O                    
by                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
local                O                    O                    O                    O                    
press                O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
9.                   O                    O                    O                    O                    
Akira                B-PER                B-PER                B-ORG                B-PER                
Ryo                  I-PER                O                    O                    O                    
(                    O                    O                    O                    O                    
Japan                B-LOC                B-LOC                B-LOC                B-LOC                
)                    O                    O                    O                    O                    
Kawasaki             B-ORG                B-PER                B-PER                B-PER                
38:50.269            O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
10.                  O                    O                    O                    O                    
Keiichi              B-PER                B-PER                B-PER                B-PER                
Kitigawa             I-PER                O                    O                    O                    
(                    O                    O                    O                    O                    
Japan                B-LOC                B-LOC                B-LOC                B-LOC                
)                    O                    O                    O                    O                    
Suzuki               B-ORG                B-ORG                B-PER                B-ORG                
38:42.333            O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
American             B-MISC               B-MISC               B-ORG                B-ORG                
League               I-MISC               I-MISC               I-ORG                I-ORG                

 
Token                Clean                Original             CLS                  SUM                  
 
in                   O                    O                    O                    O                    
their                O                    O                    O                    O                    
African              B-MISC               O                    O                    O                    
Nations              I-MISC               B-PER                B-LOC                B-LOC                
Cup                  I-MISC               O                    O                    O                    
preliminary          O                    O                    O                    O                    
round                O                    O                    O                    O                    
,                    O                    O                    O                    O                    
second               O                    O                    O                    O                    
leg                  O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
Andrea               B-PER                B-PER                B-PER                B-PER                
Ferrigato            I-PER                O                    O                    O                    
of                   O                    O                    O                    O                    
Italy                B-LOC                B-LOC                B-ORG                B-PER                
sprinted             O                    O                    O                    O                    
to                   O                    O                    O                    O                    
his                  O                    O                    O                    O                    
second               O                    O                    O                    O                    
cycling              O                    O                    O                    O                    
World                B-MISC               O                    O                    O                    
Cup                  I-MISC               O                    O                    O                    
win                  O                    O                    O                    O                    
in                   O                    O                    O                    O                    
successive           O                    O                    O                    O                    
weekends             O                    O                    O                    O                    
with                 O                    O                    O                    O                    
victory              O                    O                    O                    O                    
in                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
Swiss                B-MISC               O                    O                    O                    
Grand                B-MISC               O                    O                    O                    
Prix                 I-MISC               O                    O                    O                    
on                   O                    O                    O                    O                    
Sunday               O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
Ferrigato            B-PER                O                    O                    O                    
,                    O                    O                    O                    O                    
winner               O                    O                    O                    O                    
of                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
Leeds                B-MISC               B-PER                B-PER                B-PER                
Classic              I-MISC               O                    O                    O                    
last                 O                    O                    O                    O                    
Sunday               O                    O                    O                    O                    
with                 O                    O                    O                    O                    
a                    O                    O                    O                    O                    
one                  O                    O                    O                    O                    
second               O                    O                    O                    O                    
win                  O                    O                    O                    O                    
over                 O                    O                    O                    O                    
Britain              B-LOC                B-LOC                B-PER                B-PER                
's                   O                    O                    O                    O                    
Max                  B-PER                B-PER                B-PER                B-PER                
Sciandri             I-PER                O                    O                    O                    
,                    O                    O                    O                    O                    
posted               O                    O                    O                    O                    
a                    O                    O                    O                    O                    
similarly            O                    O                    O                    O                    
narrow               O                    O                    O                    O                    
margin               O                    O                    O                    O                    
of                   O                    O                    O                    O                    
victory              O                    O                    O                    O                    
again                O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
The                  O                    O                    O                    O                    
26-year-old          O                    O                    O                    O                    
Italian              B-MISC               O                    O                    O                    
surged               O                    O                    O                    O                    
past                 O                    O                    O                    O                    
compatriot           O                    O                    O                    O                    
Michele              B-PER                B-PER                B-ORG                B-PER                
Bartoli              I-PER                I-PER                I-ORG                I-PER                
and                  O                    O                    O                    O                    
last                 O                    O                    O                    O                    
year                 O                    O                    O                    O                    
's                   O                    O                    O                    O                    
winner               O                    O                    O                    O                    
and                  O                    O                    O                    O                    
defending            O                    O                    O                    O                    
World                B-MISC               O                    O                    O                    
Cup                  I-MISC               O                    O                    O                    
champion             O                    O                    O                    O                    
Johan                B-PER                B-PER                B-PER                B-PER                
Museeuw              I-PER                O                    O                    O                    
of                   O                    O                    O                    O                    
Belgium              B-LOC                B-LOC                B-ORG                B-PER                
in                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
final                O                    O                    O                    O                    
few                  O                    O                    O                    O                    
metres               O                    O                    O                    O                    
of                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
237km                O                    O                    O                    O                    
race                 O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
CHICAGO              B-LOC                B-LOC                B-ORG                B-PER                
1996-08-22           O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
"                    O                    O                    O                    O                    
This                 O                    O                    O                    O                    
really               O                    O                    O                    O                    
indicates            O                    O                    O                    O                    
we                   O                    O                    O                    O                    
're                  O                    O                    O                    O                    
back                 O                    O                    O                    O                    
in                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
business             O                    O                    O                    O                    
,                    O                    O                    O                    O                    
"                    O                    O                    O                    O                    
William              B-PER                B-PER                B-PER                B-ORG                
Luehrs               I-PER                I-PER                I-PER                I-ORG                
,                    O                    O                    O                    O                    
