PARAMETERS: 
 
labelset: distant 
split: train 
lambda: 0 
k: 3 
fine-tune: True 
ft_max_epochs: 2 
 
 
CLS: 
 
Run 1: 
 
File: ./results/distant_cls_2.json 
 
F1: 0.6399830280743936 
 
              precision    recall  f1-score   support

         LOC       0.84      0.67      0.75      2239
Belgium              B-LOC                B-LOC                B-LOC                B-PER                
in                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
final                O                    O                    O                    O                    
few                  O                    O                    O                    O                    
metres               O                    O                    O                    O                    
of                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
237km                O                    O                    O                    O                    
race                 O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
Former               O                    O                    O                    O                    
world                O                    O                    O                    O                    
champion             O                    O                    O                    O                    
Lance                B-PER                B-PER                B-PER                B-PER                
Armstrong            I-PER                I-PER                I-PER                I-PER                
of                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
United               B-LOC                O                    O                    O                    
States               I-LOC                B-PER                B-PER                B-LOC                
was                  O                    O                    O                    O                    
in                   O                    O                    O                    O                    
front                O                    O                    O                    O                    
as                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
leading              O                    O                    O                    O                    
pack                 O                    O                    O                    O                    
of                   O                    O                    O                    O                    
seven                O                    O                    O                    O                    
riders               O                    O                    O                    O                    
turned               O                    O                    O                    O                    
into                 O                    O                    O                    O                    
the                  O                    O                    O                    O                    
Oerlikon             B-LOC                O                    O                    O                    
velodrome            O                    O                    O                    O                    
for                  O                    O                    O                    O                    
the                  O                    O                    O                    O                    
final                O                    O                    O                    O                    
one                  O                    O                    O                    O                    
lap                  O                    O                    O                    O                    
sprint               O                    O                    O                    O                    
but                  O                    O                    O                    O                    
quickly              O                    O                    O                    O                    
faded                O                    O                    O                    O                    
and                  O                    O                    O                    O                    
settled              O                    O                    O                    O                    
for                  O                    O                    O                    O                    
fourth               O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
In                   O                    O                    O                    O                    
addition             O                    O                    O                    O                    
to                   O                    O                    O                    O                    
Disney               B-ORG                B-PER                B-PER                B-ORG                
,                    O                    O                    O                    O                    
Americast            B-ORG                B-ORG                B-ORG                B-ORG                
's                   O                    O                    O                    O                    
partners             O                    O                    O                    O                    
are                  O                    O                    O                    O                    
phone                O                    O                    O                    O                    
companies            O                    O                    O                    O                    
Ameritech            B-ORG                O                    O                    O                    
Corp.                I-ORG                O                    O                    O                    
,                    O                    O                    O                    O                    
BellSouth            B-ORG                O                    O                    O                    
Corp.                I-ORG                O                    O                    O                    
,                    O                    O                    O                    O                    
GTE                  B-ORG                O                    O                    O                    
Corp.                I-ORG                O                    O                    O                    
and                  O                    O                    O                    O                    
SBC                  B-ORG                O                    O                    O                    
Communications       I-ORG                O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
Americast            B-ORG                B-ORG                B-ORG                B-ORG                
said                 O                    O                    O                    O                    
Southern             B-ORG                O                    O                    O                    
New                  I-ORG                O                    O                    O                    
England              I-ORG                B-PER                B-PER                B-ORG                
Telecommunications   I-ORG                O                    O                    O                    
Corp.                I-ORG                O                    O                    O                    
has                  O                    O                    O                    O                    
signed               O                    O                    O                    O                    
a                    O                    O                    O                    O                    
letter               O                    O                    O                    O                    
of                   O                    O                    O                    O                    
intent               O                    O                    O                    O                    
to                   O                    O                    O                    O                    
join                 O                    O                    O                    O                    
the                  O                    O                    O                    O                    
group                O                    O                    O                    O                    
,                    O                    O                    O                    O                    
which                O                    O                    O                    O                    
plans                O                    O                    O                    O                    
to                   O                    O                    O                    O                    
provide              O                    O                    O                    O                    
a                    O                    O                    O                    O                    
home                 O                    O                    O                    O                    
entertainment        O                    O                    O                    O                    
service              O                    O                    O                    O                    
similar              O                    O                    O                    O                    
to                   O                    O                    O                    O                    
cable                O                    O                    O                    O                    
television           O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
Zenith               B-ORG                B-ORG                B-ORG                B-ORG                
also                 O                    O                    O                    O                    
said                 O                    O                    O                    O                    
it                   O                    O                    O                    O                    
planned              O                    O                    O                    O                    
to                   O                    O                    O                    O                    
build                O                    O                    O                    O                    
a                    O                    O                    O                    O                    
new                  O                    O                    O                    O                    
$                    O                    O                    O                    O                    
100                  O                    O                    O                    O                    
million              O                    O                    O                    O                    
plant                O                    O                    O                    O                    
in                   O                    O                    O                    O                    
Woodridge            B-LOC                B-PER                B-ORG                B-PER                
,                    O                    O                    O                    O                    
Ill                  B-LOC                O                    O                    O                    
.                    I-LOC                O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
Zenith               B-ORG                B-ORG                B-ORG                B-ORG                
will                 O                    O                    O                    O                    
convert              O                    O                    O                    O                    
its                  O                    O                    O                    O                    
Chihuahua            B-LOC                B-PER                B-ORG                B-LOC                
,                    O                    O                    O                    O                    
Mexico               B-LOC                B-LOC                B-PER                B-LOC                
,                    O                    O                    O                    O                    
analogue             O                    O                    O                    O                    
set-top              O                    O                    O                    O                    
box                  O                    O                    O                    O                    
plant                O                    O                    O                    O                    
to                   O                    O                    O                    O                    
manufacture          O                    O                    O                    O                    
the                  O                    O                    O                    O                    
digital              O                    O                    O                    O                    
boxes                O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
--                   O                    O                    O                    O                    
Sofia                B-ORG                B-ORG                B-PER                B-PER                
Newsroom             I-ORG                I-ORG                I-PER                I-PER                
,                    O                    O                    O                    O                    
359-2-84561          O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
Davenport            B-PER                B-PER                B-PER                B-PER                
had                  O                    O                    O                    O                    
drawn                O                    O                    O                    O                    
one                  O                    O                    O                    O                    
of                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
toughest             O                    O                    O                    O                    
first-round          O                    O                    O                    O                    
assignments          O                    O                    O                    O                    
of                   O                    O                    O                    O                    
any                  O                    O                    O                    O                    
of                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
seeded               O                    O                    O                    O                    
players              O                    O                    O                    O                    
in                   O                    O                    O                    O                    
17th-ranked          O                    O                    O                    O                    
Karina               B-PER                B-PER                B-PER                B-PER                
Habsudova            I-PER                I-PER                I-PER                I-PER                
of                   O                    O                    O                    O                    
Slovakia             B-LOC                B-LOC                B-MISC               B-PER                
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
But                  O                    O                    O                    O                    
as                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
highest-ranked       O                    O                    O                    O                    
non-seeded           O                    O                    O                    O                    
player               O                    O                    O                    O                    
in                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
tournament           O                    O                    O                    O                    
,                    O                    O                    O                    O                    
Habsudova            B-PER                O                    O                    O                    
will                 O                    O                    O                    O                    
be                   O                    O                    O                    O                    
moved                O                    O                    O                    O                    
into                 O                    O                    O                    O                    
Rubin                B-PER                B-PER                B-PER                B-PER                
's                   O                    O                    O                    O                    
slot                 O                    O                    O                    O                    
in                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
draw                 O                    O                    O                    O                    
,                    O                    O                    O                    O                    
while                O                    O                    O                    O                    
Davenport            B-PER                B-PER                B-PER                B-MISC               
will                 O                    O                    O                    O                    
now                  O                    O                    O                    O                    
get                  O                    O                    O                    O                    
a                    O                    O                    O                    O                    
qualifier            O                    O                    O                    O                    
in                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
first                O                    O                    O                    O                    
round                O                    O                    O                    O                    
,                    O                    O                    O                    O                    
according            O                    O                    O                    O                    
to                   O                    O                    O                    O                    
U.S.                 B-ORG                B-ORG                B-PER                B-ORG                
Tennis               I-ORG                I-ORG                I-PER                I-ORG                
Association          I-ORG                I-ORG                I-PER                I-ORG                
officials            O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
Rubin                B-PER                B-PER                B-PER                B-PER                
is                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
third                O                    O                    O                    O                    
notable              O                    O                    O                    O                    
withdrawal           O                    O                    O                    O                    
from                 O                    O                    O                    O                    
the                  O                    O                    O                    O                    
women                O                    O                    O                    O                    
's                   O                    O                    O                    O                    
competition          O                    O                    O                    O                    
after                O                    O                    O                    O                    
12th-ranked          O                    O                    O                    O                    
former               O                    O                    O                    O                    
Australian           B-MISC               O                    O                    O                    
Open                 I-MISC               O                    O                    O                    
champion             O                    O                    O                    O                    
Mary                 B-PER                B-PER                B-PER                B-PER                
Pierce               I-PER                I-PER                I-PER                I-PER                
and                  O                    O                    O                    O                    
20th-ranked          O                    O                    O                    O                    
Wimbledon            B-MISC               B-MISC               B-PER                B-MISC               
semifinalist         O                    O                    O                    O                    
Meredith             B-PER                B-PER                B-PER                B-MISC               
McGrath              I-PER                O                    O                    O                    
pulled               O                    O                    O                    O                    
out                  O                    O                    O                    O                    
earlier              O                    O                    O                    O                    
this                 O                    O                    O                    O                    
week                 O                    O                    O                    O                    
with                 O                    O                    O                    O                    
injuries             O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
--                   O                    O                    O                    O                    
Dimitris             B-PER                B-PER                B-ORG                B-PER                
Kontogiannis         I-PER                I-PER                I-ORG                I-PER                
,                    O                    O                    O                    O                    
Athens               B-ORG                B-ORG                B-ORG                B-ORG                
Newsroom             I-ORG                I-ORG                I-ORG                I-ORG                
+301                 O                    O                    O                    O                    
3311812-4            O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
The                  O                    O                    O                    O                    
Yedioth              B-ORG                O                    O                    O                    
Ahronoth             I-ORG                O                    O                    O                    
daily                O                    O                    O                    O                    
reported             O                    O                    O                    O                    
that                 O                    O                    O                    O                    
Prime                O                    O                    O                    O                    
Minister             O                    O                    O                    O                    
Benjamin             B-PER                B-PER                B-PER                B-PER                
Netanyahu            I-PER                O                    O                    O                    
,                    O                    O                    O                    O                    
who                  O                    O                    O                    O                    
has                  O                    O                    O                    O                    
said                 O                    O                    O                    O                    
he                   O                    O                    O                    O                    
has                  O                    O                    O                    O                    
no                   O                    O                    O                    O                    
desire               O                    O                    O                    O                    
to                   O                    O                    O                    O                    
hold                 O                    O                    O                    O                    
talks                O                    O                    O                    O                    
with                 O                    O                    O                    O                    
the                  O                    O                    O                    O                    
Palestinian          B-MISC               B-MISC               B-MISC               B-LOC                
